Razao_Social;CNPJ;Endereco;Latitude;Longitude;Nome_Fantasia;Municipio;Frequencia;UF;ID_Estação;Rede;Canal;Largura_de_banda;Modulacao;Servico_RNR;Situacao_de_Licenciamento;Servico_ANATEL;Observação
 RADIO FM ILHA DO MEL LTDA; 76531011000160; RUA ARTHUR DE ABREU, 29; 25S310400; 48W302200;; Paranaguá;90300,0000; PR; 322498759;;212;200;FM;Rádio;;230;
 REDE MARCO ZERO DE COMUNICACAO E PUBLICIDADE LTDA; 14573836000190; AV. CEARA, 07, .; 00N013900; 51W041200;; Macapá;193250,0000; AP; 322773067;;10;6000;ISDB-T;TV Digital;;802;
 PREFEITURA MUNICIPAL DE BARRA DO GARCAS; 03439239000150; R. WALDIR RABELO, S/N, .; 15S532400; 51W152400;; Barra do Garças;83250,0000; MT; 323136613;;6;6000;ISDB-T;TV Digital;;802;
 RADIO ITAI DE RIO CLARO LTDA; 01739112000121; RUA MONTE CAMBERELA, 109; 24S305100; 50W252300;; São Paulo;840,0000; SP; 323725058;;;10;AM;Rádio;;205;
 DEPARTAMENTO ESTADUAL DE TELECOMUNICACOES DE MINAS GERAIS; 17327289000150;  Cidade Administrativa Presidente Tancredo Neves - Rodovia Prefeito Americo Gianetti, s/nº; 17S452600; 40W425300;; Belo Horizonte;531250,0000; MG; 322377390;;24;6000;ISDB-T;TV Digital;;802;
 GOV. DO EST. DO ACRE - FUND. DE CULT. E COM. ELIAS MANSOUR; 03124410000132; AVENIDA GETULIO VARGAS, 389; 08S091200; 70W463400; FUNDACAO DE CULTURA E COMUNICACAO ELIAS MANSOUR - FEM; Rio Branco;820,0000; AC; 323662560;;;10;AM;Rádio;;205;
 CANAL BRASILEIRO DA INFORMACAO CBI LTDA; 57569196000157; RUA VERGUEIRO, 1211,; 23S335700; 46W385800;; São Paulo;483250,0000; SP; 9155953;;16;6000;PAL-M;TV Analógica;;248;
 TELEVISAO LAGES LTDA; 83012013000108; RUA CARLOS JOFRE DO AMARAL, 67; 26S095400; 50W235300;; Lages;77250,0000; SC; 323091776;;5;6000;ISDB-T;TV Digital;;802;
 RADIO IMBAA LTDA; 88135827000153; RUA DOUTOR MAIA, N° 2624; 29S472800; 57W055000;; Uruguaiana;99900,0000; RS; 9623540;;260;200;FM;Rádio;;230;
 SISTEMA DE COMUNICACAO RIO BONITO LTDA; 37580404000101; AV. NS 02 - ACSU NE 10 - CONJ. 02, LT 02, .; 10S104639; 48W200930;; Palmas;55250,0000; TO; 323316956;;2;6000;ISDB-T;TV Digital;;802;
 FUNDACAO DE TELEDUCACAO DO ESTADO DO CEARA-FUNTELC; 09470303000142; RUA OSVALDO CRUZ, 1985; 04S320000; 40W430000; TVC - TV CEARA CANAL 5; Fortaleza;175250,0000; CE; 322892155;;7;6000;PAL-M;TV Analógica;;800;
 FUNDACAO DE TELEDUCACAO DO ESTADO DO CEARA-FUNTELC; 09470303000142; RUA OSVALDO CRUZ, 1985; 06S530000; 39W490000; TVC - TV CEARA CANAL 5; Fortaleza;175250,0000; CE; 322891639;;7;6000;PAL-M;TV Analógica;;800;
 TELEVISAO INDEPENDENTE DE SAO JOSE DO RIO PRETO LTDA; 61413092000126; RUA GERALDINA VERONICA BATISTA DE CAMARGO, 400; 23S011300; 47W511000;; São José do Rio Preto;717250,0000; SP; 9249249;;55;6000;ISDB-T;TV Digital;;802;
 FUNDACAO CULTURAL SERRA AZUL; 04161222000147; RUA 19, 21; 13S260700; 49W080400;; Porangatu;525250,0000; GO; 617729468;;23;6000;PAL-M;TV Analógica;;248;
 AM CIDADE DE FORTALEZA LTDA; 09522228000116; AVENIDA DESEMBARGADOR MOREIRA, .; 03S510000; 38W400000;; Fortaleza;860,0000; CE; 322869846;;;10;AM;Rádio;;205;
 TV INDEPENDENCIA OESTE DO PARANA LTDA; 81057994000184; AVENIDA PARIGOT DE SOUZA, 322; 26S290000; 51W590000;; Toledo;615250,0000; PR; 323755321;;38;6000;ISDB-T;TV Digital;;802;
 MULTISOM RADIO JORNAL LTDA; 22151401000185; PRACA JOAO XXIII, 15; 21S320700; 42W384500;; Leopoldina;1560,0000; MG; 322321751;;;10;AM;Rádio;;205;
 SOCIEDADE RADIO BOECY FM LTDA; 91238774000100; AVENIDA MAURICIO CARDOSO, 467; 31S264000; 53W052200;; Piratini;93900,0000; RS; 9629130;;230;200;FM;Rádio;;230;
 PREFEITURA MUNICIPAL DE PENEDO; 12243697000100; PRACA BARAO DE PENEDO NR19, .; 10S165700; 36W343100;; Penedo;199250,0000; AL; 323274897;;11;6000;ISDB-T;TV Digital;;802;
